,abertura,alta,baixa,fechamento,volume,ticker
2025-05-08,30.59,31.03,30.45,30.71,44665000.0,PETR4
2025-05-09,31.1,31.18,30.64,30.91,25075600.0,PETR4
2025-05-12,31.9,32.17,31.65,31.65,53493600.0,PETR4
2025-05-13,31.77,32.25,31.35,32.13,56165300.0,PETR4
2025-05-14,32.0,32.12,31.7,31.91,28060100.0,PETR4
2025-05-15,31.7,32.09,31.59,31.87,32468300.0,PETR4
2025-05-16,31.84,32.16,31.66,32.02,48111800.0,PETR4
2025-05-19,31.84,32.1,31.7,31.98,30200500.0,PETR4
2025-05-20,32.05,32.41,31.95,32.11,33485800.0,PETR4
2025-05-21,32.21,32.39,31.69,31.75,28622800.0,PETR4
2025-05-08,52.9,53.3,52.67,52.74,15414600.0,VALE3
2025-05-09,53.0,53.08,52.51,52.95,15558800.0,VALE3
2025-05-12,54.56,55.2,54.28,54.28,26482400.0,VALE3
2025-05-13,54.49,55.43,54.13,55.17,21187200.0,VALE3
2025-05-14,55.5,55.69,54.84,54.9,16297800.0,VALE3
2025-05-15,55.0,55.65,54.84,55.45,13955400.0,VALE3
2025-05-16,55.2,55.67,54.81,55.49,18163800.0,VALE3
2025-05-19,55.0,55.47,54.87,55.34,14475200.0,VALE3
2025-05-20,55.33,55.53,55.09,55.35,10499200.0,VALE3
2025-05-21,55.15,55.3,54.44,54.64,14466400.0,VALE3
2025-05-08,35.6,36.0,35.14,35.32,33186100.0,ITUB4
2025-05-09,36.4,37.25,35.79,37.23,58004600.0,ITUB4
2025-05-12,37.44,37.44,36.25,36.48,26894900.0,ITUB4
2025-05-13,36.68,37.11,36.52,36.93,24635200.0,ITUB4
2025-05-14,36.94,37.34,36.81,37.18,17869500.0,ITUB4
2025-05-15,37.36,37.77,37.22,37.68,26350700.0,ITUB4
2025-05-16,37.68,38.0,37.37,37.9,29635800.0,ITUB4
2025-05-19,37.82,38.59,37.71,38.35,24323000.0,ITUB4
2025-05-20,38.38,38.38,37.86,38.3,17978200.0,ITUB4
2025-05-21,38.19,38.2,37.22,37.53,20145900.0,ITUB4
2025-05-08,14.5,15.29,14.5,15.08,218670200.0,BBDC4
2025-05-09,15.02,15.34,14.83,15.12,58078200.0,BBDC4
2025-05-12,15.16,15.2,14.79,14.9,28273600.0,BBDC4
2025-05-13,14.9,15.25,14.9,15.22,41967000.0,BBDC4
2025-05-14,15.21,15.39,15.15,15.2,44162100.0,BBDC4
2025-05-15,15.27,15.54,15.25,15.35,37314300.0,BBDC4
2025-05-16,15.25,15.44,15.19,15.4,35982000.0,BBDC4
2025-05-19,15.36,15.66,15.33,15.54,34562300.0,BBDC4
2025-05-20,15.55,15.71,15.46,15.69,27806300.0,BBDC4
2025-05-21,15.6,15.66,15.27,15.41,25385400.0,BBDC4
2025-05-08,14.77,15.03,14.29,14.37,45398800.0,ABEV3
2025-05-09,14.29,14.41,14.2,14.28,23401900.0,ABEV3
2025-05-12,14.26,14.33,14.08,14.29,19557500.0,ABEV3
2025-05-13,14.35,14.38,14.13,14.25,20625000.0,ABEV3
2025-05-14,14.19,14.43,14.19,14.23,37228600.0,ABEV3
2025-05-15,14.23,14.44,14.2,14.41,19063200.0,ABEV3
2025-05-16,14.27,14.4,14.2,14.39,26057600.0,ABEV3
2025-05-19,14.37,14.53,14.32,14.32,14202200.0,ABEV3
2025-05-20,14.32,14.37,14.22,14.29,17554600.0,ABEV3
2025-05-21,14.16,14.16,14.16,14.16,0.0,ABEV3
2025-05-08,29.5,30.04,29.41,29.41,29500900.0,BBAS3
2025-05-09,29.48,30.0,29.46,29.53,19842500.0,BBAS3
2025-05-12,29.52,29.68,28.87,29.07,20623700.0,BBAS3
2025-05-13,29.11,29.71,29.07,29.66,20288300.0,BBAS3
2025-05-14,29.62,29.92,29.53,29.76,19723000.0,BBAS3
2025-05-15,29.76,29.91,29.17,29.4,40596400.0,BBAS3
2025-05-16,25.55,26.0,25.02,25.67,152180700.0,BBAS3
2025-05-19,25.65,25.7,25.01,25.04,60409800.0,BBAS3
2025-05-20,25.09,25.67,25.09,25.5,28138800.0,BBAS3
2025-05-21,25.58,25.66,25.17,25.26,33933100.0,BBAS3
2025-05-08,13.48,14.53,13.46,14.25,206214600.0,B3SA3
2025-05-09,14.3,14.62,14.2,14.53,87134400.0,B3SA3
2025-05-12,14.51,14.59,14.26,14.36,71564100.0,B3SA3
2025-05-13,14.71,15.01,14.65,14.95,58164100.0,B3SA3
2025-05-14,14.89,15.11,14.48,14.65,47283900.0,B3SA3
2025-05-15,14.64,14.87,14.54,14.77,43622900.0,B3SA3
2025-05-16,14.64,14.9,14.61,14.77,24313700.0,B3SA3
2025-05-19,14.77,14.86,14.66,14.82,20967500.0,B3SA3
2025-05-20,14.83,14.95,14.65,14.95,23985800.0,B3SA3
2025-05-21,14.5,14.5,14.5,14.5,39855300.0,B3SA3
2025-05-08,42.42,42.94,42.09,42.21,12632900.0,WEGE3
2025-05-09,42.5,42.53,41.79,41.79,5972700.0,WEGE3
2025-05-12,42.15,43.08,42.05,42.67,10286700.0,WEGE3
2025-05-13,43.0,44.2,42.97,44.0,11479300.0,WEGE3
2025-05-14,44.03,44.4,43.81,44.07,7012500.0,WEGE3
2025-05-15,43.92,44.46,43.85,44.17,6936800.0,WEGE3
2025-05-16,44.0,45.5,43.98,45.0,8772000.0,WEGE3
2025-05-19,44.95,45.11,44.36,44.55,3814500.0,WEGE3
2025-05-20,44.55,44.71,43.71,44.53,4196400.0,WEGE3
2025-05-21,44.36,44.62,43.12,43.45,7566200.0,WEGE3
2025-05-08,43.65,44.4,43.0,43.9,10529200.0,RENT3
2025-05-09,43.86,44.58,40.82,41.0,12333500.0,RENT3
2025-05-12,41.16,41.63,40.62,41.5,12763600.0,RENT3
2025-05-13,41.61,42.74,41.48,41.74,7971200.0,RENT3
2025-05-14,41.64,41.64,39.61,39.71,7593500.0,RENT3
2025-05-15,39.92,41.06,39.9,40.75,7356500.0,RENT3
2025-05-16,40.32,42.32,40.31,41.84,8018900.0,RENT3
2025-05-19,41.94,43.17,41.68,42.1,9366600.0,RENT3
2025-05-20,42.21,42.44,40.32,41.7,6142000.0,RENT3
2025-05-21,41.45,41.45,39.95,40.36,16897700.0,RENT3
2025-05-08,8.83,9.36,8.73,9.02,23656300.0,MGLU3
2025-05-09,8.85,8.89,7.91,8.39,49150000.0,MGLU3
2025-05-12,8.59,9.02,8.52,8.78,24024500.0,MGLU3
2025-05-13,8.82,9.41,8.54,9.16,38301200.0,MGLU3
2025-05-14,9.1,9.47,8.91,9.35,29701700.0,MGLU3
